file-name,N,edges-number,locality-min,locality-max,locality,ps-mu-steps,ps-sigma-steps,ps-distance,d0-steps,d0-distance,d1-steps,d1-distance,d2-steps,d2-distance
output0.json,16,2,-2,2,[-2\comma 2],40.54,20.60,2.784E-04,41,3.181E-03,61,1.054E-03,82,5.899E-04
output1.json,16,2,-4,4,[-4\comma 4],38.16,22.10,3.998E-04,38,5.306E-04,60,4.460E-04,82,4.440E-04
output2.json,16,2,-8,8,[-8\comma 8],41.00,23.75,6.873E-04,41,4.430E-04,65,5.980E-04,89,3.921E-04
output3.json,16,4,-2,2,[-2\comma 2],44.72,27.04,4.508E-04,45,5.545E-04,72,3.821E-04,99,4.890E-04
output4.json,16,4,-4,4,[-4\comma 4],31.62,18.49,3.516E-04,32,4.439E-04,50,4.060E-04,69,5.254E-04
output5.json,16,4,-8,8,[-8\comma 8],31.37,18.42,4.697E-04,31,3.742E-04,50,4.286E-04,68,5.702E-04
output7.json,16,8,-4,4,[-4\comma 4],31.54,18.29,4.724E-04,32,5.164E-04,50,4.538E-04,68,5.270E-04
output8.json,16,8,-8,8,[-8\comma 8],28.62,17.16,7.389E-04,29,4.844E-04,46,4.794E-04,63,5.098E-04
output9.json,64,3,-3,3,[-3\comma 3],520.77,352.61,1.693E-04,521,4.370E-04,873,1.923E-04,1226,1.361E-04
output10.json,64,3,-6,6,[-6\comma 6],83.18,36.77,1.892E-04,83,1.912E-04,120,1.395E-04,157,1.716E-04
output11.json,64,3,-12,12,[-12\comma 12],128.28,68.53,1.620E-04,128,1.342E-04,197,1.577E-04,265,1.573E-04
output12.json,64,6,-3,3,[-3\comma 3],292.17,173.32,1.169E-04,292,1.163E-04,465,1.282E-04,639,1.556E-04
output13.json,64,6,-6,6,[-6\comma 6],142.18,76.61,1.511E-04,142,1.547E-04,219,1.774E-04,295,1.464E-04
output14.json,64,6,-12,12,[-12\comma 12],139.61,75.70,1.421E-04,140,1.324E-04,215,1.422E-04,291,1.345E-04
output16.json,64,12,-6,6,[-6\comma 6],157.02,88.22,1.461E-04,157,1.412E-04,245,1.412E-04,333,1.449E-04
output17.json,64,12,-12,12,[-12\comma 12],129.83,71.82,1.510E-04,130,1.481E-04,202,1.424E-04,273,1.365E-04
output18.json,256,4,-4,4,[-4\comma 4],2588.17,1587.95,3.513E-05,2588,3.402E-05,4176,3.503E-05,5764,3.109E-05
output19.json,256,4,-8,8,[-8\comma 8],1439.09,933.75,2.927E-05,1439,3.449E-05,2373,2.924E-05,3307,3.160E-05
output20.json,256,4,-16,16,[-16\comma 16],575.09,312.79,3.714E-05,575,3.792E-05,888,3.716E-05,1201,3.476E-05
output21.json,256,8,-4,4,[-4\comma 4],1900.20,1137.41,3.333E-05,1900,4.144E-05,3038,2.894E-05,4175,3.203E-05
output22.json,256,8,-8,8,[-8\comma 8],807.99,444.00,3.736E-05,808,3.648E-05,1252,3.735E-05,1696,3.444E-05
output23.json,256,8,-16,16,[-16\comma 16],567.76,309.48,3.608E-05,568,3.771E-05,877,3.988E-05,1187,3.836E-05
output25.json,256,16,-8,8,[-8\comma 8],850.52,485.20,3.387E-05,851,3.681E-05,1336,3.281E-05,1821,3.802E-05
output26.json,256,16,-16,16,[-16\comma 16],596.19,323.70,3.704E-05,596,3.491E-05,920,3.563E-05,1244,3.720E-05
