N,n_edges,outgoing_edges,outgoing_edges_max,mean,std_dev,samples_n,error,file_name
16,2,[-2\comma 2],2,40.54,20.60,9917,0.009999777665992384,output0.json
16,4,[-2\comma 2],2,44.72,27.04,14050,0.009999419654202184,output3.json
16,2,[-4\comma 4],4,38.16,22.10,12883,0.009999231842417994,output1.json
16,4,[-4\comma 4],4,31.62,18.49,13126,0.00999973895211211,output4.json
16,8,[-4\comma 4],4,31.54,18.29,12926,0.009999281313220735,output7.json
16,2,[-8\comma 8],8,41.00,23.75,12891,0.00999988269752615,output2.json
16,4,[-8\comma 8],8,31.37,18.42,13250,0.009999751645209692,output5.json
16,8,[-8\comma 8],8,28.62,17.16,13808,0.009999985712362831,output8.json
64,3,[-3\comma 3],3,520.77,352.61,17612,0.009999716108192122,output9.json
64,6,[-3\comma 3],3,292.17,173.32,13519,0.009999985209129054,output12.json
64,3,[-6\comma 6],6,83.18,36.77,7507,0.009999852258210196,output10.json
64,6,[-6\comma 6],6,142.18,76.61,11154,0.009999072902205952,output13.json
64,12,[-6\comma 6],6,157.02,88.22,12127,0.009999814301075098,output16.json
64,3,[-12\comma 12],12,128.28,68.53,10964,0.009999861422575291,output11.json
64,6,[-12\comma 12],12,139.61,75.70,11293,0.009999650028536696,output14.json
64,12,[-12\comma 12],12,129.83,71.82,11757,0.009999548149738116,output17.json
256,4,[-4\comma 4],4,2588.17,1587.95,14461,0.009999837836737446,output18.json
256,8,[-4\comma 4],4,1900.20,1137.41,13765,0.00999949822710936,output21.json
256,4,[-8\comma 8],8,1439.09,933.75,16174,0.00999959208494765,output19.json
256,8,[-8\comma 8],8,807.99,444.00,11600,0.009999919698010163,output22.json
256,16,[-8\comma 8],8,850.52,485.20,12502,0.009999806953224968,output25.json
256,4,[-16\comma 16],16,575.09,312.79,11364,0.00999992393512241,output20.json
256,8,[-16\comma 16],16,567.76,309.48,11415,0.009999498476097546,output23.json
256,16,[-16\comma 16],16,596.19,323.70,11325,0.009999733174760616,output26.json
