N,n_edges,outgoing_edges,outgoing_edges_max,mean,std_dev,samples_n,error,file_name
4,2,[-2\comma 2],2,3.66,2.73,21353,0.009999665884646543,0.json
16,2,[-2\comma 2],2,62.50,38.06,14241,0.009999752551864024,1.json
16,4,[-2\comma 2],2,24.29,12.72,10541,0.009999609739872928,4.json
16,2,[-4\comma 4],4,49.17,28.96,13321,0.009999944819785571,2.json
16,4,[-4\comma 4],4,20.10,12.05,13801,0.009999358116593287,5.json
16,8,[-4\comma 4],4,11.75,6.84,13017,0.009999706220503175,8.json
16,2,[-8\comma 8],8,43.63,25.29,12907,0.009999809044540602,3.json
16,4,[-8\comma 8],8,15.58,9.12,13161,0.009999662504207783,6.json
16,8,[-8\comma 8],8,11.24,6.70,13672,0.00999953457228946,9.json
64,3,[-3\comma 3],3,658.35,557.75,27572,0.009999966743563805,10.json
64,6,[-3\comma 3],3,265.73,146.48,11673,0.009999985589961125,13.json
64,3,[-6\comma 6],6,146.78,79.78,11351,0.009999496552865491,11.json
64,6,[-6\comma 6],6,127.32,73.04,12643,0.009999661146888626,14.json
64,12,[-6\comma 6],6,101.82,61.65,14082,0.009999849561443225,17.json
64,3,[-12\comma 12],12,98.13,53.05,11229,0.009999853930048557,12.json
64,6,[-12\comma 12],12,71.54,39.06,11453,0.009999746024211066,15.json
64,12,[-12\comma 12],12,51.40,28.15,11522,0.009999887812755421,18.json
256,4,[-4\comma 4],4,12507.61,11313.11,31428,0.009999942141939935,19.json
256,8,[-4\comma 4],4,3819.37,2379.74,14914,0.009999728181504085,22.json
256,4,[-8\comma 8],8,508.87,242.64,8735,0.00999941767100908,20.json
256,8,[-8\comma 8],8,1130.68,660.21,13098,0.009999706400127052,23.json
256,16,[-8\comma 8],8,1246.83,698.54,12058,0.009999857706080306,26.json
256,4,[-16\comma 16],16,570.83,315.54,11738,0.009999813438220574,21.json
256,8,[-16\comma 16],16,461.41,250.55,11329,0.009999121786648066,24.json
256,16,[-16\comma 16],16,462.13,262.77,12422,0.009999179472625958,27.json
