file-name,N,edges-number,locality-min,locality-max,locality,ps-mu-steps,ps-sigma-steps,ps-distance,d0-steps,d0-distance,d1-steps,d1-distance,d2-steps,d2-distance
0.json,4,2,-2,2,[-2\comma 2],3.22,2.69,6.845E-02,3,2.504E-02,6,3.649E-03,9,4.921E-04
1.json,16,2,-2,2,[-2\comma 2],39.98,22.11,2.478E-04,40,2.050E-04,62,3.333E-05,84,4.924E-05
2.json,16,2,-4,4,[-4\comma 4],23.22,11.68,2.456E-03,23,1.004E-04,35,7.132E-05,47,5.475E-05
10.json,64,3,-3,3,[-3\comma 3],478.65,300.29,3.629E-04,479,1.099E-04,779,4.324E-05,1079,1.820E-05
11.json,64,3,-6,6,[-6\comma 6],118.23,64.38,1.975E-05,118,1.649E-05,183,1.656E-05,247,1.628E-05
12.json,64,3,-12,12,[-12\comma 12],72.19,37.44,1.549E-05,72,1.778E-05,110,1.090E-05,147,1.622E-05
13.json,64,6,-3,3,[-3\comma 3],288.31,160.99,8.583E-05,288,2.197E-05,449,1.333E-05,610,1.447E-05
14.json,64,6,-6,6,[-6\comma 6],123.98,68.42,1.646E-05,124,1.468E-05,192,1.325E-05,261,1.434E-05
15.json,64,6,-12,12,[-12\comma 12],76.20,41.18,1.528E-05,76,1.401E-05,117,1.574E-05,159,1.448E-05
17.json,64,12,-6,6,[-6\comma 6],99.83,59.21,1.661E-05,100,1.330E-05,159,1.426E-05,218,1.177E-05
18.json,64,12,-12,12,[-12\comma 12],46.69,25.19,1.351E-05,47,1.437E-05,72,1.363E-05,97,1.684E-05
19.json,256,4,-4,4,[-4\comma 4],170.15,3340.69,3.405E-06,170,4.062E-04,3511,2.794E-05,6852,4.223E-06
20.json,256,4,-8,8,[-8\comma 8],1012.87,604.45,3.408E-06,1013,1.059E-05,1617,3.842E-06,2222,3.493E-06
21.json,256,4,-16,16,[-16\comma 16],499.37,271.54,3.940E-06,499,4.032E-06,771,3.464E-06,1042,4.056E-06
