N,n_edges,outgoing_edges,outgoing_edges_max,mean,std_dev,samples_n,error,file_name
4,2,[-2\comma 2],2,6.84,4.93,19976,0.00999940479575697,0.json
16,2,[-2\comma 2],2,55.45,33.16,13742,0.0099998345475963,1.json
16,4,[-2\comma 2],2,41.33,23.98,12928,0.009999747051956918,4.json
16,2,[-4\comma 4],4,77.88,50.26,16001,0.009999875924227923,2.json
16,4,[-4\comma 4],4,29.97,17.42,12987,0.009999861623462968,5.json
16,8,[-4\comma 4],4,29.13,17.10,13244,0.009999798691503014,8.json
16,2,[-8\comma 8],8,12.72,6.37,9651,0.0099993662328919,3.json
16,4,[-8\comma 8],8,29.31,17.12,13105,0.009999558869033197,6.json
16,8,[-8\comma 8],8,28.07,16.50,13277,0.009999605663252987,9.json
64,3,[-3\comma 3],3,262.89,132.36,9739,0.00999951401829496,10.json
64,6,[-3\comma 3],3,272.31,158.27,12978,0.009999494160521085,13.json
64,3,[-6\comma 6],6,83.33,39.79,8759,0.009999282574309981,11.json
64,6,[-6\comma 6],6,154.29,86.79,12155,0.009999825515965153,14.json
64,12,[-6\comma 6],6,157.02,87.94,12051,0.009999472044599974,17.json
64,3,[-12\comma 12],12,136.58,75.28,11672,0.00999960992290052,12.json
64,6,[-12\comma 12],12,129.64,71.21,11592,0.009999780341084332,15.json
64,12,[-12\comma 12],12,127.32,71.59,12145,0.00999999511065762,18.json
256,4,[-4\comma 4],4,1777.65,893.20,9699,0.009999765746506295,19.json
256,8,[-4\comma 4],4,2028.12,1207.62,13620,0.009999883813837037,22.json
256,4,[-8\comma 8],8,726.72,398.13,11531,0.009999491799250155,20.json
256,8,[-8\comma 8],8,704.28,374.62,10869,0.009999997606327369,23.json
256,16,[-8\comma 8],8,887.26,495.51,11982,0.009999763915030274,26.json
256,4,[-16\comma 16],16,400.74,213.60,10914,0.009999853162310819,21.json
256,8,[-16\comma 16],16,544.43,294.37,11232,0.009999345265431961,24.json
256,16,[-16\comma 16],16,603.84,331.35,11569,0.009999128617906416,27.json
