file-name,N,edges-number,locality-min,locality-max,locality,ps-mu-steps,ps-sigma-steps,ps-distance,d0-steps,d0-distance,d1-steps,d1-distance,d2-steps,d2-distance
0.json,4,2,-2,2,[-2\comma 2],6.84,4.93,1.356E-03,7,3.878E-03,12,1.205E-03,17,1.919E-03
1.json,16,2,-2,2,[-2\comma 2],55.45,33.16,8.000E-04,55,4.717E-04,89,5.058E-04,122,4.759E-04
2.json,16,2,-4,4,[-4\comma 4],77.88,50.26,4.409E-04,78,3.925E-04,128,4.931E-04,178,3.608E-04
3.json,16,2,-8,8,[-8\comma 8],12.72,6.37,4.533E-03,13,7.734E-04,19,5.644E-04,25,3.578E-04
4.json,16,4,-2,2,[-2\comma 2],41.33,23.98,1.579E-03,41,5.304E-04,65,4.367E-04,89,5.267E-04
5.json,16,4,-4,4,[-4\comma 4],29.97,17.42,7.740E-04,30,6.392E-04,47,4.559E-04,65,5.310E-04
6.json,16,4,-8,8,[-8\comma 8],29.31,17.12,4.706E-04,29,5.128E-04,46,4.186E-04,64,5.985E-04
8.json,16,8,-4,4,[-4\comma 4],29.13,17.10,5.191E-04,29,6.134E-04,46,6.995E-04,63,3.766E-04
9.json,16,8,-8,8,[-8\comma 8],28.07,16.50,6.589E-04,28,4.294E-04,45,3.941E-04,61,4.562E-04
10.json,64,3,-3,3,[-3\comma 3],262.89,132.36,4.259E-04,263,2.562E-04,395,1.351E-04,528,1.463E-04
11.json,64,3,-6,6,[-6\comma 6],83.33,39.79,1.290E-04,83,4.281E-04,123,2.023E-04,163,1.523E-04
12.json,64,3,-12,12,[-12\comma 12],136.58,75.28,1.400E-04,137,1.398E-04,212,1.704E-04,287,1.186E-04
13.json,64,6,-3,3,[-3\comma 3],272.31,158.27,1.293E-04,272,1.105E-04,431,1.163E-04,589,1.443E-04
14.json,64,6,-6,6,[-6\comma 6],154.29,86.79,1.358E-04,154,1.489E-04,241,1.419E-04,328,1.484E-04
15.json,64,6,-12,12,[-12\comma 12],129.64,71.21,1.542E-04,130,1.340E-04,201,1.535E-04,272,1.595E-04
17.json,64,12,-6,6,[-6\comma 6],157.02,87.94,1.438E-04,157,1.416E-04,245,1.533E-04,333,1.467E-04
18.json,64,12,-12,12,[-12\comma 12],127.32,71.59,1.362E-04,127,1.360E-04,199,1.483E-04,271,1.489E-04
19.json,256,4,-4,4,[-4\comma 4],1777.65,893.20,3.973E-05,1778,1.694E-04,2671,6.922E-05,3564,4.480E-05
20.json,256,4,-8,8,[-8\comma 8],726.72,398.13,3.546E-05,727,3.804E-05,1125,3.367E-05,1523,3.646E-05
21.json,256,4,-16,16,[-16\comma 16],400.74,213.60,3.544E-05,401,3.594E-05,614,3.371E-05,828,3.836E-05
22.json,256,8,-4,4,[-4\comma 4],2028.12,1207.62,3.610E-05,2028,3.277E-05,3236,3.297E-05,4443,3.602E-05
23.json,256,8,-8,8,[-8\comma 8],704.28,374.62,4.238E-05,704,3.986E-05,1079,3.856E-05,1454,3.387E-05
24.json,256,8,-16,16,[-16\comma 16],544.43,294.37,3.716E-05,544,3.407E-05,839,3.628E-05,1133,3.550E-05
26.json,256,16,-8,8,[-8\comma 8],887.26,495.51,3.706E-05,887,3.536E-05,1383,3.586E-05,1878,4.103E-05
27.json,256,16,-16,16,[-16\comma 16],603.84,331.35,3.564E-05,604,3.665E-05,935,3.519E-05,1267,3.810E-05
