N,n_edges,outgoing_edges,outgoing_edges_max,mean,std_dev,samples_n,error,file_name
4,2,[-2\comma 2],2,8.58,6.62,22897,0.009999656346064329,0.json
16,2,[-2\comma 2],2,48.23,27.93,12885,0.009999685232913225,1.json
16,2,[-4\comma 4],4,63.47,36.26,12539,0.009999792661741993,2.json
16,2,[-8\comma 8],8,36.30,21.20,13101,0.00999940447883221,3.json
16,4,[-2\comma 2],2,53.64,35.19,16530,0.009999863084367103,4.json
16,4,[-4\comma 4],4,26.34,15.19,12783,0.009999674054380259,5.json
16,4,[-8\comma 8],8,26.88,15.83,13323,0.009999304799572556,6.json
16,8,[-4\comma 4],4,30.47,17.93,13304,0.009999959254626328,8.json
16,8,[-8\comma 8],8,29.74,17.57,13412,0.009999876198016693,9.json
64,3,[-3\comma 3],3,379.81,230.86,14194,0.009999404024636336,10.json
64,3,[-6\comma 6],6,168.53,94.27,12020,0.009999605174695506,11.json
64,3,[-12\comma 12],12,137.74,75.64,11584,0.009999743851538248,12.json
64,6,[-3\comma 3],3,276.80,162.71,13274,0.009999840286541653,13.json
64,6,[-6\comma 6],6,132.22,73.82,11977,0.00999912195210606,14.json
64,6,[-12\comma 12],12,135.20,76.08,12165,0.009999630538098967,15.json
64,12,[-6\comma 6],6,145.77,79.57,11448,0.009999404720687116,17.json
64,12,[-12\comma 12],12,128.21,71.07,11805,0.00999947502428869,18.json
256,4,[-4\comma 4],4,3805.59,2714.00,19538,0.009999920552804594,19.json
256,4,[-8\comma 8],8,801.71,445.26,11850,0.009999741623642571,20.json
256,4,[-16\comma 16],16,557.70,304.48,11451,0.00999980629299873,21.json
256,8,[-4\comma 4],4,2764.65,1864.52,17474,0.009999500560616737,22.json
256,8,[-8\comma 8],8,952.78,547.30,12677,0.00999942384598268,23.json
256,8,[-16\comma 16],16,570.15,311.29,11452,0.009999717987416437,24.json
256,16,[-8\comma 8],8,912.85,523.90,12653,0.009999928889811577,26.json
256,16,[-16\comma 16],16,590.45,321.39,11383,0.009999313001731423,27.json
