file-name,N,edges-number,locality-min,locality-max,locality,ps-mu-steps,ps-sigma-steps,ps-distance,d0-steps,d0-distance,d1-steps,d1-distance,d2-steps,d2-distance
0.json,4,2,-2,2,[-2\comma 2],8.08,6.25,1.244E-02,-4,5.164E-02,2,2.254E-02,8,4.406E-03
1.json,16,2,-2,2,[-2\comma 2],53.28,32.68,8.864E-03,-12,1.961E-02,21,6.889E-03,53,6.981E-04
2.json,16,2,-4,4,[-4\comma 4],53.52,31.60,3.292E-04,-10,1.581E-02,22,1.625E-03,54,4.881E-04
3.json,16,2,-8,8,[-8\comma 8],34.87,21.64,6.462E-04,-8,1.299E-02,13,1.502E-03,35,6.107E-04
4.json,16,4,-2,2,[-2\comma 2],49.32,33.83,1.182E-03,-18,9.014E-03,15,1.325E-03,49,5.917E-04
5.json,16,4,-4,4,[-4\comma 4],15.10,8.51,9.327E-04,-2,1.097E-02,7,4.211E-04,15,5.776E-04
6.json,16,4,-8,8,[-8\comma 8],13.08,7.75,4.860E-04,-2,9.274E-03,5,5.331E-04,13,5.299E-04
8.json,16,8,-4,4,[-4\comma 4],11.13,6.66,6.326E-04,-2,4.230E-03,4,6.165E-04,11,3.665E-04
9.json,16,8,-8,8,[-8\comma 8],9.27,5.60,4.517E-04,-2,4.125E-03,4,6.250E-04,9,5.297E-04
10.json,64,3,-3,3,[-3\comma 3],382.66,232.37,1.125E-04,-82,3.037E-03,150,1.062E-03,383,3.674E-04
11.json,64,3,-6,6,[-6\comma 6],151.03,86.77,1.253E-04,-23,1.750E-03,64,1.970E-04,151,1.547E-04
12.json,64,3,-12,12,[-12\comma 12],101.06,54.44,1.703E-04,-8,1.652E-03,47,1.482E-04,101,1.361E-04
13.json,64,6,-3,3,[-3\comma 3],338.34,209.18,1.011E-04,-80,1.129E-03,129,1.260E-04,338,1.146E-04
14.json,64,6,-6,6,[-6\comma 6],104.89,59.32,1.382E-04,-14,1.583E-03,46,1.515E-04,105,1.269E-04
15.json,64,6,-12,12,[-12\comma 12],74.80,40.60,1.425E-04,-6,8.484E-04,34,1.271E-04,75,1.187E-04
17.json,64,12,-6,6,[-6\comma 6],89.81,49.86,1.180E-04,-10,7.534E-04,40,1.521E-04,90,1.557E-04
18.json,64,12,-12,12,[-12\comma 12],52.60,28.89,1.372E-04,-5,5.850E-04,24,1.292E-04,53,1.499E-04
19.json,256,4,-4,4,[-4\comma 4],4165.27,2967.41,2.175E-05,-1770,7.541E-04,1198,2.875E-04,4165,9.236E-05
20.json,256,4,-8,8,[-8\comma 8],887.70,501.47,3.564E-05,-115,2.666E-04,386,3.536E-05,888,3.866E-05
21.json,256,4,-16,16,[-16\comma 16],567.84,314.43,3.745E-05,-61,1.977E-04,253,3.752E-05,568,3.565E-05
22.json,256,8,-4,4,[-4\comma 4],4810.46,3275.94,3.133E-05,-1741,1.780E-04,1535,3.020E-05,4810,2.816E-05
23.json,256,8,-8,8,[-8\comma 8],1468.65,886.19,3.273E-05,-304,1.155E-04,582,3.224E-05,1469,3.084E-05
24.json,256,8,-16,16,[-16\comma 16],504.66,275.40,3.794E-05,-46,1.268E-04,229,3.497E-05,505,3.618E-05
26.json,256,16,-8,8,[-8\comma 8],1632.85,1016.37,3.050E-05,-400,6.041E-05,616,3.213E-05,1633,2.930E-05
27.json,256,16,-16,16,[-16\comma 16],451.29,256.98,3.419E-05,-63,6.980E-05,194,3.617E-05,451,3.682E-05
