file-name,N,edges-number,locality-min,locality-max,locality,ps-mu-steps,ps-sigma-steps,ps-distance,d-2.0-steps,d-2.0-distance,d-1.0-steps,d-1.0-distance,d0.0-steps,d0.0-distance,d1.0-steps,d1.0-distance,d2.0-steps,d2.0-distance
0.json,4,2,-2,2,[-2\comma 2],8.58,6.62,2.211E-02,-5,5.164E-02,2,2.333E-02,9,1.656E-03,15,1.686E-03,22,2.148E-03
1.json,16,2,-2,2,[-2\comma 2],48.23,27.93,7.667E-03,-8,1.960E-02,20,7.297E-03,48,8.335E-04,76,6.105E-04,104,4.842E-04
2.json,16,2,-4,4,[-4\comma 4],63.47,36.26,4.889E-04,-9,1.581E-02,27,1.185E-03,63,5.147E-04,100,4.428E-04,136,6.331E-04
3.json,16,2,-8,8,[-8\comma 8],36.30,21.20,4.120E-04,-6,1.299E-02,15,9.473E-04,36,3.436E-04,57,4.644E-04,79,4.520E-04
4.json,16,4,-2,2,[-2\comma 2],53.64,35.19,1.682E-03,-17,9.015E-03,18,1.398E-03,54,5.843E-04,89,4.959E-04,124,4.763E-04
5.json,16,4,-4,4,[-4\comma 4],26.34,15.19,7.047E-04,-4,1.097E-02,11,4.941E-04,26,4.913E-04,42,6.805E-04,57,7.057E-04
6.json,16,4,-8,8,[-8\comma 8],26.88,15.83,5.776E-04,-5,9.275E-03,11,5.544E-04,27,5.510E-04,43,4.406E-04,59,4.953E-04
8.json,16,8,-4,4,[-4\comma 4],30.47,17.93,4.215E-04,-5,4.224E-03,13,5.258E-04,30,5.064E-04,48,5.291E-04,66,5.334E-04
9.json,16,8,-8,8,[-8\comma 8],29.74,17.57,5.133E-04,-5,4.125E-03,12,5.570E-04,30,2.900E-04,47,3.963E-04,65,4.695E-04
10.json,64,3,-3,3,[-3\comma 3],379.81,230.86,1.429E-04,-82,3.039E-03,149,1.113E-03,380,3.601E-04,611,1.798E-04,842,1.087E-04
11.json,64,3,-6,6,[-6\comma 6],168.53,94.27,1.283E-04,-20,1.749E-03,74,1.579E-04,169,1.410E-04,263,1.402E-04,357,1.406E-04
12.json,64,3,-12,12,[-12\comma 12],137.74,75.64,1.278E-04,-14,1.653E-03,62,1.188E-04,138,1.127E-04,213,1.661E-04,289,1.445E-04
13.json,64,6,-3,3,[-3\comma 3],276.80,162.71,1.345E-04,-49,1.129E-03,114,1.465E-04,277,1.356E-04,440,1.235E-04,602,1.238E-04
14.json,64,6,-6,6,[-6\comma 6],132.22,73.82,1.120E-04,-15,1.582E-03,58,1.275E-04,132,1.208E-04,206,1.433E-04,280,1.458E-04
15.json,64,6,-12,12,[-12\comma 12],135.20,76.08,1.634E-04,-17,8.483E-04,59,1.437E-04,135,1.211E-04,211,1.359E-04,287,1.523E-04
17.json,64,12,-6,6,[-6\comma 6],145.77,79.57,1.518E-04,-13,7.551E-04,66,1.327E-04,146,1.518E-04,225,1.523E-04,305,1.363E-04
18.json,64,12,-12,12,[-12\comma 12],128.21,71.07,1.365E-04,-14,5.829E-04,57,1.615E-04,128,1.475E-04,199,1.277E-04,270,1.117E-04
19.json,256,4,-4,4,[-4\comma 4],3805.59,2714.00,2.396E-05,-1622,7.542E-04,1092,3.047E-04,3806,1.034E-04,6520,4.744E-05,9234,3.078E-05
20.json,256,4,-8,8,[-8\comma 8],801.71,445.26,3.354E-05,-89,2.657E-04,356,4.314E-05,802,3.551E-05,1247,3.649E-05,1692,3.335E-05
21.json,256,4,-16,16,[-16\comma 16],557.70,304.48,3.739E-05,-51,1.978E-04,253,3.750E-05,558,3.561E-05,862,4.045E-05,1167,3.494E-05
22.json,256,8,-4,4,[-4\comma 4],2764.65,1864.52,2.844E-05,-964,1.782E-04,900,3.366E-05,2765,3.127E-05,4629,3.082E-05,6494,2.746E-05
23.json,256,8,-8,8,[-8\comma 8],952.78,547.30,3.596E-05,-142,1.153E-04,405,3.322E-05,953,3.394E-05,1500,3.607E-05,2047,3.322E-05
24.json,256,8,-16,16,[-16\comma 16],570.15,311.29,3.704E-05,-52,1.270E-04,259,3.883E-05,570,3.978E-05,881,3.414E-05,1193,3.442E-05
26.json,256,16,-8,8,[-8\comma 8],912.85,523.90,3.329E-05,-135,5.980E-05,389,3.734E-05,913,3.295E-05,1437,3.386E-05,1961,3.222E-05
27.json,256,16,-16,16,[-16\comma 16],590.45,321.39,3.427E-05,-52,6.983E-05,269,3.090E-05,590,3.804E-05,912,3.384E-05,1233,3.590E-05
