file-name,N,edges-number,locality-min,locality-max,locality,ps-mu-steps,ps-sigma-steps,ps-distance,d-2.0-steps,d-2.0-distance,d-1.0-steps,d-1.0-distance,d0.0-steps,d0.0-distance,d1.0-steps,d1.0-distance,d2.0-steps,d2.0-distance,ds-fc0.95-steps,ds-fc0.95-distance
0.json,4,2,-2,2,[-2\comma 2],8.08,6.25,0.01244,-4,0.05164,2,0.02254,8,0.004406,14,0.001227,21,0.002009,10,0.004254
1.json,16,2,-2,2,[-2\comma 2],53.28,32.68,0.008864,-12,0.01961,21,0.006889,53,0.0006981,86,0.0003562,119,0.0004949,49,0.0009254
2.json,16,2,-4,4,[-4\comma 4],53.52,31.6,0.0003292,-10,0.01581,22,0.001625,54,0.0004881,85,0.0005018,117,0.0003085,40,0.0005995
3.json,16,2,-8,8,[-8\comma 8],34.87,21.64,0.0006462,-8,0.01299,13,0.001502,35,0.0006107,57,0.0005744,78,0.0004309,34,0.0005213
4.json,16,4,-2,2,[-2\comma 2],49.32,33.83,0.001182,-18,0.009014,15,0.001325,49,0.0005917,83,0.0003148,117,0.0004711,54,0.0004953
5.json,16,4,-4,4,[-4\comma 4],15.1,8.51,0.0009327,-2,0.01097,7,0.0004211,15,0.0005776,24,0.0005313,32,0.0005937,11,0.0006822
6.json,16,4,-8,8,[-8\comma 8],13.08,7.75,0.000486,-2,0.009274,5,0.0005331,13,0.0005299,21,0.0006201,29,0.0003563,16,0.0003538
8.json,16,8,-4,4,[-4\comma 4],11.13,6.66,0.0006326,-2,0.00423,4,0.0006165,11,0.0003665,18,0.0004614,24,0.0004421,8,0.0005332
9.json,16,8,-8,8,[-8\comma 8],9.27,5.6,0.0004517,-2,0.004125,4,0.000625,9,0.0005297,15,0.0004124,20,0.0004604,8,0.0004406
10.json,64,3,-3,3,[-3\comma 3],382.66,232.37,0.0001125,-82,0.003037,150,0.001062,383,0.0003674,615,0.0001746,847,0.0001301,571,0.0001858
11.json,64,3,-6,6,[-6\comma 6],151.03,86.77,0.0001253,-23,0.00175,64,0.000197,151,0.0001547,238,0.0001677,325,0.0001342,147,0.0001321
12.json,64,3,-12,12,[-12\comma 12],101.06,54.44,0.0001703,-8,0.001652,47,0.0001482,101,0.0001361,155,0.0001518,210,0.0001211,78,0.0001155
13.json,64,6,-3,3,[-3\comma 3],338.34,209.18,0.0001011,-80,0.001129,129,0.000126,338,0.0001146,548,0.0001282,757,0.0001438,278,0.0001315
14.json,64,6,-6,6,[-6\comma 6],104.89,59.32,0.0001382,-14,0.001583,46,0.0001515,105,0.0001269,164,0.0001442,224,0.0001465,87,0.0001212
15.json,64,6,-12,12,[-12\comma 12],74.8,40.6,0.0001425,-6,0.0008484,34,0.0001271,75,0.0001187,115,0.0001112,156,0.0001438,46,0.0001412
17.json,64,12,-6,6,[-6\comma 6],89.81,49.86,0.000118,-10,0.0007534,40,0.0001521,90,0.0001557,140,0.0001563,190,0.000136,63,0.0001466
18.json,64,12,-12,12,[-12\comma 12],52.6,28.89,0.0001372,-5,0.000585,24,0.0001292,53,0.0001499,81,0.0001488,110,0.0001616,25,0.0001755
19.json,256,4,-4,4,[-4\comma 4],4165.27,2967.41,2.175e-05,-1770,0.0007541,1198,0.0002875,4165,9.236e-05,7133,3.782e-05,10100,2.635e-05,6843,4.68e-05
20.json,256,4,-8,8,[-8\comma 8],887.7,501.47,3.564e-05,-115,0.0002666,386,3.536e-05,888,3.866e-05,1389,3.489e-05,1891,3.836e-05,889,3.331e-05
21.json,256,4,-16,16,[-16\comma 16],567.84,314.43,3.745e-05,-61,0.0001977,253,3.752e-05,568,3.565e-05,882,3.619e-05,1197,3.51e-05,363,3.788e-05
22.json,256,8,-4,4,[-4\comma 4],4810.46,3275.94,3.133e-05,-1741,0.000178,1535,3.02e-05,4810,2.816e-05,8086,3.298e-05,11362,2.803e-05,4291,2.796e-05
23.json,256,8,-8,8,[-8\comma 8],1468.65,886.19,3.273e-05,-304,0.0001155,582,3.224e-05,1469,3.084e-05,2355,3.455e-05,3241,3.222e-05,885,3.262e-05
24.json,256,8,-16,16,[-16\comma 16],504.66,275.4,3.794e-05,-46,0.0001268,229,3.497e-05,505,3.618e-05,780,3.602e-05,1055,3.769e-05,258,3.495e-05
26.json,256,16,-8,8,[-8\comma 8],1632.85,1016.37,3.05e-05,-400,6.041e-05,616,3.213e-05,1633,2.93e-05,2649,3.278e-05,3666,3.212e-05,730,3.226e-05
27.json,256,16,-16,16,[-16\comma 16],451.29,256.98,3.419e-05,-63,6.98e-05,194,3.617e-05,451,3.682e-05,708,3.711e-05,965,3.408e-05,194,3.472e-05
