N,n_edges,outgoing_edges,outgoing_edges_max,mean,std_dev,samples_n,error,file_name
4,2,[-2\comma 2],2,8.12,6.22,22582,0.009999683372196613,0.json
16,2,[-2\comma 2],2,53.13,32.76,14606,0.00999974677736968,1.json
16,4,[-2\comma 2],2,49.50,33.90,18017,0.009999794320107471,4.json
16,2,[-4\comma 4],4,53.78,32.10,13689,0.009999970890734542,2.json
16,4,[-4\comma 4],4,15.20,8.54,12140,0.00999935265526982,5.json
16,8,[-4\comma 4],4,11.10,6.53,13305,0.009999732675954377,8.json
16,2,[-8\comma 8],8,34.82,21.52,14674,0.009999423971945939,3.json
16,4,[-8\comma 8],8,13.10,7.92,14039,0.009999879403475529,6.json
16,8,[-8\comma 8],8,9.21,5.44,13402,0.009999383669173028,9.json
64,3,[-3\comma 3],3,383.67,231.61,14000,0.009999769413139318,10.json
64,6,[-3\comma 3],3,336.67,206.97,14520,0.009999457755044022,13.json
64,3,[-6\comma 6],6,151.59,86.45,12492,0.009999873596703027,11.json
64,6,[-6\comma 6],6,105.45,60.80,12772,0.009999773847983897,14.json
64,12,[-6\comma 6],6,91.75,51.97,12325,0.009999368303766713,17.json
64,3,[-12\comma 12],12,102.10,54.96,11132,0.009999756267504276,12.json
64,6,[-12\comma 12],12,74.61,41.56,11922,0.009999173689840546,15.json
64,12,[-12\comma 12],12,52.39,28.76,11582,0.00999961064042081,18.json
256,4,[-4\comma 4],4,4192.43,2987.91,19512,0.009999961846009656,19.json
256,8,[-4\comma 4],4,4790.61,3237.86,17549,0.009999759216307528,22.json
256,4,[-8\comma 8],8,890.82,502.49,12223,0.009999863591174659,20.json
256,8,[-8\comma 8],8,1464.49,889.04,14157,0.009999930031978785,23.json
256,16,[-8\comma 8],8,1640.54,1014.98,14705,0.009999679009277455,26.json
256,4,[-16\comma 16],16,564.07,307.96,11451,0.009999884437007256,21.json
256,8,[-16\comma 16],16,501.63,273.01,11379,0.009999798729624684,24.json
256,16,[-16\comma 16],16,451.23,255.96,12362,0.009999247169563678,27.json
