file-name,N,edges-number,locality-min,locality-max,locality,linear-coeff-0,linear-coeff-1
0.json,4,2,-2,2,[-2\comma 2],0.19702943366629666,-3.0790721845823534
1.json,16,2,-2,2,[-2\comma 2],0.12158070063354513,-13.771391782871873
2.json,16,2,-4,4,[-4\comma 4],0.26955988665129854,-49.84682590752971
3.json,16,2,-8,8,[-8\comma 8],0.15595672905967237,-14.897799689414555
4.json,16,4,-2,2,[-2\comma 2],0.37855434369132396,-58.11125565139026
5.json,16,4,-4,4,[-4\comma 4],0.22333035522438,-18.066077130505715
6.json,16,4,-8,8,[-8\comma 8],0.08278163519689699,-6.452098498017486
8.json,16,8,-4,4,[-4\comma 4],0.05596937679608376,-5.83439012853521
9.json,16,8,-8,8,[-8\comma 8],0.05298639471081437,-4.579501779409408
10.json,64,3,-3,3,[-3\comma 3],0.780253553902941,-1150.5835482966352
11.json,64,3,-6,6,[-6\comma 6],0.10477357169125753,-66.18904406293187
12.json,64,3,-12,12,[-12\comma 12],0.11346369154434957,-59.75169706231885
13.json,64,6,-3,3,[-3\comma 3],0.5088744307516677,-597.3632634850438
14.json,64,6,-6,6,[-6\comma 6],0.16338733207110526,-89.54611349036935
15.json,64,6,-12,12,[-12\comma 12],0.033393148495989136,-19.377516070107784
17.json,64,12,-6,6,[-6\comma 6],0.029569419567017096,-18.979290236352607
18.json,64,12,-12,12,[-12\comma 12],0.10555818633179771,-60.99891365980801
19.json,256,4,-4,4,[-4\comma 4],1.5753629953201647,-35140.42681753274
20.json,256,4,-8,8,[-8\comma 8],0.14830193554481746,-604.4142701145394
21.json,256,4,-16,16,[-16\comma 16],0.14826821898566495,-383.1243717990745
22.json,256,8,-4,4,[-4\comma 4],0.6434154177757782,-10147.738272738203
23.json,256,8,-8,8,[-8\comma 8],0.1632621163776292,-776.871551683905
24.json,256,8,-16,16,[-16\comma 16],0.6905311619028007,-1994.6454732067323
26.json,256,16,-8,8,[-8\comma 8],0.10091996467533541,-526.1519252710815
27.json,256,16,-16,16,[-16\comma 16],0.13619637626761985,-418.6441006583778
